ISO3,Year,Categoria,PIB,PIB per capital,System
FRO,2015,Indefinido,2573905971.054594,52635.0375463609,Faroe Islands
FRO,2016,Indefinido,2813278868.782085,56875.2803813296,Faroe Islands
FRO,2017,Indefinido,2980057377.879666,59387.353086482,Faroe Islands
GEO,2010,Indefinido,12426907967.157818,3281.72930937343,Georgia
GEO,2011,Indefinido,15475290469.286894,4119.66818307193,Georgia
GEO,2012,Indefinido,16894392033.225578,4530.69533409431,Georgia
GEO,2013,Indefinido,17517660143.685932,4712.00229382665,Georgia
GEO,2014,Indefinido,17966015109.304302,4830.33486170249,Georgia
GEO,2015,Indefinido,15223796148.83962,4086.6223465965,Georgia
GEO,2016,Indefinido,15444548901.963682,4143.40125686315,Georgia
GEO,2017,Indefinido,16473125375.068438,4418.75206546679,Georgia
GIB,2010,Indefinido,,,Gibraltar
GIB,2011,Indefinido,,,Gibraltar
GIB,2012,Indefinido,,,Gibraltar
GIB,2013,Indefinido,,,Gibraltar
GIB,2014,Indefinido,,,Gibraltar
GIB,2015,Indefinido,,,Gibraltar
GIB,2016,Indefinido,,,Gibraltar
GIB,2017,Indefinido,,,Gibraltar
GLP,2010,Indefinido,,,Guadeloupe
GLP,2011,Indefinido,,,Guadeloupe
GLP,2012,Indefinido,,,Guadeloupe
GLP,2013,Indefinido,,,Guadeloupe
GLP,2014,Indefinido,,,Guadeloupe
GLP,2015,Indefinido,,,Guadeloupe
GLP,2016,Indefinido,,,Guadeloupe
GLP,2017,Indefinido,,,Guadeloupe
GTM,2014,Indefinido,57852152955.038994,3689.14471813777,Guatemala
GTM,2015,Indefinido,62186064757.9334,3893.50522093509,Guatemala
GTM,2016,Indefinido,66053403363.73841,4060.13754974186,Guatemala
