ISO3,Year,Promedio_Pasajeros_Internacionales,Promedio_Pasajeros_Nacionales
LVA,2013,398.49825000000004,0.03354166666666667
LVA,2014,400.1780833333333,0.043916666666666666
LVA,2015,428.8068333333333,0.05395833333333334
LVA,2016,448.5988333333333,0.08220833333333333
LVA,2017,505.9599166666667,0.5487916666666667
LVA,2018,585.5386666666667,0.8847499999999999
MAC,2014,,
MAC,2015,,
MAC,2016,,
MAC,2017,,
MAR,2010,,
MAR,2011,,
MAR,2012,,
MAR,2013,,
MAR,2014,,
MDA,2010,,
MDA,2011,,
MDA,2012,,
MDA,2013,,
MDA,2014,,
MDA,2015,,
MDA,2016,,
MDA,2017,,
MEX,2010,,
MEX,2011,,
MEX,2012,,
MEX,2013,,
MEX,2014,,
MEX,2015,,
MEX,2016,,
MEX,2017,,
MKD,2011,,
MKD,2012,,
MKD,2013,,
MKD,2014,,
MKD,2015,,
MKD,2016,,
MKD,2017,,
MLT,2010,274.46158333333335,0.023352272727272725
MLT,2011,292.2248333333333,0.04134848484848485
MLT,2012,304.1605,0.106875
MLT,2013,335.95983333333334,0.20736666666666667
MLT,2014,357.50233333333335,0.04567499999999999
MLT,2015,384.94149999999996,0.12708333333333333
MLT,2016,423.34166666666664,0.2703039215686274
MLT,2017,500.64366666666666,0.08852941176470587
MLT,2018,567.1214166666667,0.07958333333333333
MNE,2011,,
MNE,2012,,
MNE,2013,,
MNE,2014,,
MNE,2015,,
MNE,2016,,
MNE,2017,,
MTQ,2010,,
MTQ,2011,,
MTQ,2012,,
MTQ,2013,,
MTQ,2014,,
MTQ,2015,,
MYS,2014,,
MYS,2015,,
MYS,2016,,
MYS,2017,,
NGA,2014,387.91175,890.067
NGA,2015,362.2730833333333,841.4385833333334
NGA,2016,355.0824166666667,914.3006666666666
NGA,2017,338.05974999999995,865.2876666666666
NGA,2018,369.8999166666667,1065.9699166666667
NLD,2010,4051.271083333333,0.30216666666666664
NLD,2011,4491.201333333333,0.073
NLD,2012,4639.862833333334,0.15458333333333332
NLD,2013,4839.672166666666,0.11054166666666666
NLD,2014,5080.191083333333,0.059166666666666666
NLD,2015,5380.77725,0.13425
NLD,2016,5859.696500000001,0.13641666666666666
NLD,2017,6353.181166666666,0.1775
NLD,2018,6636.789083333333,0.2155
NOR,2010,1380.107,1079.7637499999998
NOR,2011,1523.9515000000001,1176.3419999999999
NOR,2012,1650.7148333333334,1231.9705833333335
NOR,2013,1806.1896666666664,1251.0073333333332
NOR,2014,1865.7524999999998,1267.8470833333333
NOR,2015,1869.8904166666669,1255.3639166666667
NOR,2016,1878.7664166666666,1265.19575
NOR,2017,1929.0535833333333,1299.26125
NOR,2018,2008.4846666666665,1327.3574166666667
NZL,2014,,
NZL,2015,,
NZL,2016,,
NZL,2017,,
OMN,2014,,
OMN,2015,,
OMN,2016,,
OMN,2017,,
PAN,2010,,
PAN,2011,,
PAN,2012,,
PAN,2013,,
PAN,2014,,
PAN,2015,,
PAN,2016,,
PAN,2017,,
PER,2010,,
PER,2011,,
PER,2012,,
PER,2013,,
PER,2014,,
PER,2015,,
PER,2016,,
PER,2017,,
PHL,2014,,
PHL,2015,,
